#
# SED templates.  MS (main sequence star forming at z=0.5) and starburst are from '
# Magdis et al. 2012. The 70% AGN tempate is from Ciesla 2015
#
#  Wave (um)   Flux_MS (mJy)  Flux_Burst (mJy)   Flux AGN (mJy)
      3.16200      0.14155829     0.056186383      0.56716085
      3.19200      0.19038855     0.074933122      0.59205473
      3.22100      0.30066722      0.11697848      0.62034789
      3.25100      0.63424921      0.24349451      0.67224280
      3.28100       2.2379016      0.85022632      0.77227062
      3.31100       3.3076677       1.2544573      0.93602336
      3.34200      0.88389023      0.33853409       1.0324955
      3.37300      0.39269258      0.15334484       1.1307104
      3.40400      0.24429092     0.097797186       1.0130229
      3.43600      0.18235927     0.074964535      0.90511302
      3.46700      0.15130251     0.063815210      0.82593388
      3.49900      0.13393955     0.057908104      0.81931820
      3.53200      0.12352786     0.054663078      0.84762633
      3.56500      0.11704227     0.052953770      0.87681968
      3.59700      0.11298129     0.052217366      0.90915652
      3.63100      0.11049097     0.052126043      0.94953549
      3.66400      0.10905168     0.052499628      0.99000022
      3.69800      0.10837485     0.053231401       1.0318064
      3.73300      0.10828688     0.054251574       1.0754524
      3.76700      0.10860360     0.055508537       1.1226828
      3.80200      0.10930153     0.056980449       1.1767291
      3.83700      0.11024229     0.058645181       1.2325024
      3.87300      0.11149508     0.060488073       1.2880100
      3.90800      0.11293319     0.062512924       1.3432633
      3.94500      0.11454492     0.064708917       1.4060114
      3.98100      0.11638772     0.067072200       1.4698219
      4.01800      0.11840414     0.069606626       1.5358727
      4.05500      0.12053668     0.072319793       1.6023100
      4.09300      0.12284283     0.075207907       1.6729672
      4.13000      0.12533432     0.078278448       1.7439233
      4.16900      0.12798767     0.081531539       1.8211100
      4.20700      0.13076889     0.084993158       1.8956637
      4.24600      0.13373545     0.088652162       1.9711313
      4.28500      0.13694480     0.092527155       2.0486787
      4.32500      0.14028204     0.096629304       2.1301283
      4.36500      0.14386207      0.10096989       2.2137774
      4.40600      0.14770841      0.10555244       2.3022544
      4.44600      0.15176352      0.11041770       2.3899384
      4.48700      0.15608490      0.11559557       2.4813524
      4.52900      0.16074176      0.12099633       2.5777180
      4.57100      0.16574584      0.12676956       2.6760480
      4.61300      0.17110887      0.13295192       2.7761066
      4.65600      0.17690005      0.13939380       2.8812921
      4.69900      0.18324606      0.14631958       2.9883243
      4.74200      0.19018210      0.15372777       3.0979917
      4.78600      0.19785832      0.16165504       3.2111248
      4.83100      0.20648230      0.17017614       3.3212516
      4.87500      0.21629693      0.17947584       3.4299763
      4.92000      0.22775261      0.18970074       3.5436865
      4.96600      0.24150738      0.20114698       3.6559525
      5.01200      0.25878589      0.21440545       3.7667823
      5.05800      0.28184031      0.23024875       3.8800650
      5.10500      0.31545188      0.25085558       3.9983609
      5.15200      0.36943876      0.28054374       4.1198820
      5.20000      0.46089403      0.32669365       4.2470050
      5.24800      0.57884537      0.38484260       4.3768972
      5.29700      0.59862707      0.40174645       4.5000595
      5.34600      0.52722450      0.37957647       4.6102787
      5.39500      0.48573611      0.37032311       4.7207432
      5.44500      0.48709801      0.37993025       4.8350839
      5.49500      0.52357530      0.40522656       4.9489401
      5.54600      0.60047695      0.44920605       5.0647811
      5.59800      0.74154373      0.52279592       5.1846070
      5.64900      0.96941480      0.63696442       5.3036776
      5.70200       1.1531091      0.73283723       5.4286095
      5.75400       1.0867397      0.71545913       5.5506479
      5.80800      0.98571977      0.68191100       5.6788868
      5.86100      0.98946167      0.69672964       5.8063645
      5.91600       1.1003936      0.76258071       5.9469605
      5.97000       1.3387386      0.89062168       6.1385316
      6.02600       1.7911234       1.1233685       6.3445513
      6.08100       2.6810667       1.5729838       6.5523363
      6.13800       4.4954511       2.4827973       6.7768130
      6.19400       7.2391446       3.8683806       7.0042947
      6.25200       7.2190283       3.9026809       7.2395643
      6.31000       4.7153799       2.6848193       7.2900165
      6.36800       3.1571934       1.9312473       7.2427592
      6.42700       2.4668390       1.6053242       7.1954941
      6.48600       2.2150865       1.4991635       7.1489266
      6.54600       2.1962126       1.5138003       7.1264810
      6.60700       2.2993205       1.5915995       7.2118684
      6.66800       2.4212674       1.6823453       7.3075168
      6.73000       2.4799064       1.7405863       7.4051011
      6.79200       2.4728213       1.7644750       7.5030611
      6.85500       2.4665455       1.7894780       7.5977362
      6.91800       2.5204573       1.8481004       7.6882136
      6.98200       2.6605506       1.9569834       7.7803616
      7.04700       2.8975701       2.1242646       7.8742008
      7.11200       3.2391402       2.3547374       7.9733578
      7.17800       3.6969327       2.6591354       8.0952385
      7.24400       4.2918627       3.0526188       8.2238848
      7.31100       5.0721049       3.5662265       8.3553746
      7.37900       6.1396662       4.2672271       8.4897575
      7.44700       7.6820634       5.2768581       8.4961637
      7.51600       9.7911562       6.6657177       8.3521555
      7.58600       11.711383       7.9663001       8.1987610
      7.65600       12.133197       8.3421323       7.8761535
      7.72700       11.881469       8.2862621       7.2482866
      7.79800       11.913961       8.4167001       6.6081586
      7.87000       11.410387       8.1952397       6.1897167
      7.94300       9.7977261       7.2212170       5.4560811
      8.01700       7.9123377       6.0327933       4.5671483
      8.09100       6.4613653       5.1112300       4.0184343
      8.16600       5.5562555       4.5430020       3.4093701
      8.24100       5.0971019       4.2697099       2.9012165
      8.31800       4.9400586       4.2019182       2.4543480
      8.39500       5.0094549       4.2923124       2.3212242
      8.47200       5.4548840       4.6469110       2.2142175
      8.55100       6.2942583       5.2856542       2.0628915
      8.63000       6.4931069       5.4962169       1.8147859
      8.71000       5.3929248       4.7972141       1.4332015
      8.79000       4.1957338       4.0110623       1.0982252
      8.87200       3.4152332       3.5087037      0.97311169
      8.95400       2.9470009       3.2254795      0.88291521
      9.03600       2.6615359       3.0727306      0.79145383
      9.12000       2.4807509       2.9953727      0.72222088
      9.20400       2.3640828       2.9645957      0.66630720
      9.29000       2.2876139       2.9622621      0.64145892
      9.37600       2.2380538       2.9761584      0.64275180
      9.46200       2.2066171       3.0018573      0.64403588
      9.55000       2.1885644       3.0341674      0.64534075
      9.63800       2.1812451       3.0716090      0.64663557
      9.72700       2.1844237       3.1164245      0.65625192
      9.81700       2.1981129       3.1678817      0.68602426
      9.90800       2.2219719       3.2285755      0.72163023
      10.0000       2.2568105       3.2988881      0.77282586
      10.0900       2.3035551       3.3806660      0.82695246
      10.1900       2.3631209       3.4727807      0.89272260
      10.2800       2.4378068       3.5752015      0.95867954
      10.3800       2.5307213       3.6890138       1.0636969
      10.4700       2.6509788       3.8200948       1.1761970
      10.5700       2.8194824       3.9839431       1.3827616
      10.6700       3.0636103       4.2030774       1.5751400
      10.7600       3.3464359       4.4565339       1.8223320
      10.8600       3.8113606       4.8505039       2.3345073
      10.9600       4.6781367       5.5524463       3.4973525
      11.0700       6.5408608       7.0192468       4.0801516
      11.1700       12.123463       11.345501       4.0559295
      11.2700       17.002267       15.262909       3.7489452
      11.3800       13.062577       12.420118       3.4404649
      11.4800       9.4479322       9.8657307       3.2783481
      11.5900       7.2251749       8.0662979       3.4932276
      11.6900       6.5145495       7.5819558       3.7539786
      11.8000       6.7196275       7.8492492       4.0197969
      11.9100       7.3854196       8.5095176       4.2917413
      12.0200       7.6846081       8.8814607       4.5632292
      12.1300       7.3112027       8.6893188       4.8456337
      12.2500       7.0654098       8.6092909       5.1616324
      12.3600       7.5049030       9.1323897       5.4594491
      12.4700       8.7197239       10.374169       5.7710562
      12.5900       9.9068157       11.629861       5.9847799
      12.7100       9.4277568       11.358740       6.1430999
      12.8200       7.8489133       10.021748       6.2955898
      12.9400       6.5974236       8.9590954       6.5145048
      13.0600       5.9249928       8.4368198       6.7654816
      13.1800       5.7167473       8.3576147       7.0139379
      13.3000       5.8848988       8.6660588       7.2124276
      13.4300       6.2054724       9.1454784       7.3977300
      13.5500       6.0959362       9.1701600       7.5715196
      13.6800       5.5909647       8.7579037       7.7381733
      13.8000       5.2003392       8.4592571       7.8182462
      13.9300       5.0481752       8.4304617       7.8758541
      14.0600       5.1535596       8.7098125       7.9333308
      14.1900       5.3530772       9.1130930       7.9906951
      14.3200       5.1144861       8.9779432       8.0178149
      14.4500       4.9134669       8.8857246       8.0096771
      14.5900       4.8631914       8.9866942       7.9970345
      14.7200       4.8833906       9.1865391       7.9854163
      14.8600       4.9388387       9.4388145       7.9730338
      15.0000       5.0162700       9.7309547       7.9731488
      15.1400       5.1099112       10.049719       7.9757666
      15.2800       5.2174421       10.398851       7.9783637
      15.4200       5.3423330       10.784182       7.9809359
      15.5600       5.4886546       11.213117       7.9922792
      15.7000       5.6708003       11.708469       8.0281565
      15.8500       5.9153271       12.316606       8.0664308
      16.0000       6.1454839       12.911656       8.1045275
      16.1400       6.4634296       13.668031       8.1408977
      16.2900       7.2189570       15.162162       8.1937411
      16.4400       8.9505854       18.323641       8.2607885
      16.6000       8.0992462       17.226958       8.3322318
      16.7500       8.1091585       17.558365       8.3991304
      16.9000       8.4884762       18.537473       8.4737590
      17.0600       8.7547151       19.343885       8.5730223
      17.2200       8.8201355       19.793315       8.6774759
      17.3800       9.0229611       20.511622       8.7822220
      17.5400       8.3260252       19.544852       8.8872466
      17.7000       8.0914342       19.420922       9.0497626
      17.8600       8.1396334       19.823006       9.2584719
      18.0300       7.9079400       19.665944       9.4843090
      18.2000       7.8124326       19.777607       9.7132790
      18.3700       7.8237052       20.084108       10.017063
      18.5400       7.8943675       20.515660       10.371412
      18.7100       8.0602438       21.142049       10.734470
      18.8800       8.3870694       22.117641       11.106656
      19.0500       8.3133803       22.240001       11.488667
      19.2300       8.1969465       22.262963       11.905086
      19.4100       8.2068584       22.554353       12.340764
      19.5900       8.2571453       22.933850       12.793875
      19.7700       8.3223776       23.342667       13.258286
      19.9500       8.3928055       23.773624       13.721716
      20.1400       8.4695789       24.215572       14.218382
      20.3200       8.5498245       24.672330       14.700589
      20.5100       8.6464225       25.184957       15.231150
      20.7000       8.7517594       25.719872       15.777561
      20.8900       8.8611667       26.273413       16.337669
      21.0900       8.9746440       26.845425       16.922174
      21.2800       9.0910424       27.436061       17.486845
      21.4800       9.2173526       28.060130       18.087495
      21.6800       9.3530232       28.713969       18.678557
      21.8800       9.4974335       29.408714       19.277911
      22.0800       9.6459129       30.121935       19.888262
      22.2800       9.7943937       30.849965       20.499032
      22.4900       9.9498649       31.607614       21.147106
      22.7000       10.114697       32.406176       21.810688
      22.9100       10.292937       33.252978       22.477315
      23.1200       10.484607       34.162976       23.142534
      23.3300       10.686812       35.128696       23.820751
      23.5500       10.894834       36.120219       24.538123
      23.7700       11.112171       37.167315       25.231050
      23.9900       11.342938       38.277464       25.926015
      24.2100       11.586561       39.454320       26.633916
      24.4300       11.838923       40.686599       27.349164
      24.6600       12.103520       41.989263       28.092251
      24.8900       12.381548       43.362155       28.845057
      25.1200       12.672385       44.812753       29.610619
      25.3500       12.974907       46.352063       30.368854
      25.5900       13.292582       47.980068       31.148372
      25.8200       13.624840       49.711590       31.906686
      26.0600       13.972825       51.546469       32.711638
      26.3000       14.338841       53.492049       33.494238
      26.5500       14.718862       55.548318       34.266405
      26.7900       15.114592       57.741090       35.014676
      27.0400       15.527798       60.051729       35.804871
      27.2900       15.956136       62.509860       36.601022
      27.5400       16.405354       65.107849       37.360097
      27.8000       16.869129       67.853037       38.140129
      28.0500       17.348587       70.756406       38.898681
      28.3100       17.846601       73.825289       39.695813
      28.5800       18.359680       77.052068       40.510774
      28.8400       18.884252       80.458871       41.238538
      29.1100       19.426302       84.030736       42.000238
      29.3800       19.985593       87.774990       42.768493
      29.6500       20.556385       91.702348       43.541625
      29.9200       21.138670       95.812955       44.273113
      30.2000       21.726465       100.08434       45.011865
      30.4800       22.325761       104.51655       45.755703
      30.7600       22.936549       109.13873       46.504975
      31.0500       23.552851       113.90675       47.263027
      31.3300       24.180413       118.84978       47.935584
      31.6200       24.807743       123.93119       48.621774
      31.9200       25.440586       129.13601       49.335494
      32.2100       26.078940       134.45674       50.028855
      32.5100       26.716824       139.90089       50.713388
      32.8100       27.360220       145.49011       51.370786
      33.1100       27.991657       151.11453       52.029821
      33.4200       28.640101       156.88403       52.713261
      33.7300       29.276580       162.68868       53.385538
      34.0400       29.930066       168.55764       53.925680
      34.3600       30.577333       174.49841       54.462241
      34.6700       31.230118       180.43769       54.982305
      34.9900       31.882430       186.44874       55.519446
      35.3200       32.534279       192.45087       56.037487
      35.6500       33.191633       198.50305       56.497345
      35.9700       33.854508       204.55380       56.942787
      36.3100       34.534383       210.62542       57.415545
      36.6400       35.208046       216.66644       57.860708
      36.9800       35.887223       222.72836       58.231591
      37.3300       36.583408       228.78207       58.570766
      37.6700       37.285103       234.82006       58.899110
      38.0200       37.998064       240.84238       59.235827
      38.3700       38.734015       246.87139       59.556096
      38.7300       39.469492       252.89965       59.857650
      39.0800       40.239696       258.89803       60.145621
      39.4500       41.009425       264.90311       60.448672
      39.8100       41.802150       270.92989       60.742338
      40.1800       42.617867       276.92675       60.969868
      40.5500       43.468065       282.95278       61.162843
      40.9300       44.323778       289.00051       61.359492
      41.3000       45.213980       295.03327       61.549841
      41.6900       46.127175       301.09523       61.733598
      42.0700       47.069100       307.14963       61.798022
      42.4600       48.039774       313.24076       61.863668
      42.8500       49.044933       319.32442       61.928774
      43.2500       50.073079       325.44465       61.996139
      43.6500       51.135714       331.59410       62.088413
      44.0600       52.232831       337.75103       62.207361
      44.4600       53.358692       343.94454       62.322562
      44.8700       54.530767       350.17480       62.439803
      45.2900       55.725606       356.44170       62.535805
      45.7100       56.966656       362.72351       62.553548
      46.1300       58.236202       369.03446       62.545243
      46.5600       59.546232       375.38964       62.536856
      46.9900       60.902236       381.78884       62.528524
      47.4200       62.298706       388.18809       62.481866
      47.8600       63.723687       394.59483       62.391448
      48.3100       65.194888       401.07488       62.295864
      48.7500       66.700328       407.52569       62.203383
      49.2000       68.257742       414.04984       62.109732
      49.6600       69.849647       420.54485       62.053408
      50.1200       71.481773       427.25968       62.005268
      50.5800       73.171619       433.54226       61.957583
      51.0500       74.884229       440.18387       61.909299
